,Category,Category FR,Cluster,Cluster FR,Count,Link,Original,Product,Source,Weight
33,Travel Accessories,Travel Accessories,backpack,backpack,76.0,//cdn.shopify.com/s/files/1/0070/7032/files/trending-products-backpacks.jpg?v=1582322150,Backpacks,backpack,Trendy,1
36,Travel Accessories,Travel Accessories,foldable travel iron,foldable travel iron,76.0,https://img.oberlo.com/?url=https://ae01.alicdn.com/kf/HTB1UFYBaQT2gK0jSZPcq6AKkpXaM/Folding-Portable-Iron-Compact-Touchup-and-Perfect-Foldable-Travel-Iron-Fordable-Mini-Iron-for-Collar-Dropshipping.jpg,Foldable Travel Iron,foldable travel iron,Trendy,1
37,Travel Accessories,Travel Accessories,passport holder,passport holder,76.0,https://108658-309052-raikfcquaxqncofqfm.stackpathdns.com//wp-content/uploads/2019/07/passport-holder.jpg,Passport Holder,passport holder,Trendy,1
39,Travel Accessories,Travel Accessories,key case,key case,76.0,https://alidropship.com/wp-content/uploads/2019/09/28-key-case.png,Key Case,key case,Trendy,1
40,Travel Accessories,Travel Accessories,fingerprint lock,fingerprint lock,76.0,https://alidropship.com/wp-content/uploads/2019/09/44-fingerprint-lock.png,Fingerprint Lock,fingerprint lock,Trendy,1
41,Travel Accessories,Travel Accessories,anti theft backpack,anti theft backpack,76.0,https://alidropship.com/wp-content/uploads/2019/09/45-anti-theft-backpack.png,Anti Theft Backpack,anti theft backpack,Trendy,1
43,Travel Accessories,Travel Accessories,waterproof shoe cover,waterproof shoe cover,76.0,https://www.cloudways.com/blog/wp-content/uploads/image3-212-300x287.png,Waterproof Shoe Cover,waterproof shoe cover,Trendy,1
20,Travel Accessories,Travel Accessories,luggage tag leather travel,luggage tag leather travel,23.0,https://i.etsystatic.com/18309645/d/il/29b105/1898757610/il_340x270.1898757610_nkva.jpg?version=0,Luggage Tag Leather Travel,luggage tag leather travel,etsy,1
23,Travel Accessories,Travel Accessories,mask sleeping,mask sleeping,14.0,https://i.etsystatic.com/9436115/d/il/7588e1/2217382508/il_340x270.2217382508_nh5p.jpg?version=0,Mask Sleeping,mask sleeping,etsy,1
21,Travel Accessories,Travel Accessories,passport case cover wax,passport case cover wax,11.0,https://i.etsystatic.com/20398829/c/2146/1706/577/36/il/afda1e/2230579351/il_340x270.2230579351_exob.jpg,Passport Case Cover Wax,passport case cover wax,etsy,1
22,Travel Accessories,Travel Accessories,bag shopping,bag shopping,8.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwc3b63642/product/70339922_01_001_01.jpg?sw=245&sh=279&sm=fit,Bag Shopping,bag shopping,hema,1
28,Travel Accessories,Travel Accessories,2 pack wrist band prevent motion sickne,2 pack wrist band prevent motion sickne,4.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw797bbec7/product/18600140_01_001_01.jpg?sw=245&sh=279&sm=fit,2 Pack Wrist Band Prevent Motion Sicknes,2 pack wrist band prevent motion sickne,hema,1
26,Travel Accessories,Travel Accessories,keyring travelling travel accessory,keyring travelling travel accessory,3.0,https://i.etsystatic.com/7219352/c/1001/795/336/294/il/338f2b/1695450327/il_340x270.1695450327_onx6.jpg,Keyring Travelling Travel Accessory,keyring travelling travel accessory,etsy,1
45,Tobacco Accessories,Tobacco Accessories,tobacco accessor smoking pouch,tobacco accessor smoking pouch,101.0,https://s.alicdn.com/@sc01/kf/H79ffeef7904844bf95893405d35e9361x.jpg_300x300.jpg,Tobacco Accessor Smoking Pouch,smoking tobacco pipe,alibaba,1
55,Tobacco Accessories,Tobacco Accessories,vape e cigarette,vape e cigarette,76.0,https://www.ecommerceceo.com/wp-content/uploads/2016/03/Vape-1.jpg,Vape / E-Cigarettes,vape e cigarette,Trendy,1
48,Tobacco Accessories,Tobacco Accessories,tobacco joke leather pouch,tobacco joke leather pouch,28.0,https://i5.walmartimages.com/asr/46535b4c-2fc7-45d2-8600-ca42f2c2cc3e_1.ff6335d83c17e97299d1e138a261d8e2.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,Tobacco Joke Leather Pouch,tobacco joke leather pouch,walmart,1
49,Tobacco Accessories,Tobacco Accessories,holder toilet steel stainle,holder toilet steel stainle,14.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwbf7edd8d/product/11870130_01_001_01.jpg?sw=245&sh=279&sm=fit,Holder Toilet Steel Stainles,holder toilet steel stainle,hema,1
53,Tobacco Accessories,Tobacco Accessories,chocolate sprinkle,chocolate sprinkle,8.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw5174758f/product/26510001_01_001_01.jpg?sw=245&sh=279&sm=fit,Chocolate Sprinkle,chocolate sprinkle,hema,1
54,Tobacco Accessories,Tobacco Accessories,cup,cup,8.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw0b265418/product/80321002_01_001_01.jpg?sw=245&sh=279&sm=fit,Cup,cup,hema,1
50,Tobacco Accessories,Tobacco Accessories,cm box 5 medicine,cm box 5 medicine,6.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwcbc1d6e7/product/80300087_01_001_01.jpg?sw=245&sh=279&sm=fit,Cm Box 5 Medicine,cm box 5 medicine,hema,1
51,Tobacco Accessories,Tobacco Accessories,charger cable usb 8,charger cable usb 8,6.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw0f4738c1/product/39630063_01_001_01.jpg?sw=245&sh=279&sm=fit,Charger Cable Usb 8,charger cable usb 8,hema,1
52,Tobacco Accessories,Tobacco Accessories,rack shower,rack shower,6.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw95ca616f/product/80300070_01_001_01.jpg?sw=245&sh=279&sm=fit,Rack Shower,rack shower,hema,1
66,Take Away Mug And Containers,Take Away Mug And Containers,stainles steel bottle,stainles steel bottle,76.0,https://i5.walmartimages.com/asr/0b1d1267-2524-4bd1-bcbd-cd757ef424eb_1.0cd090e5bc023674ae21b8764f0be5ec.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,Stainless Steel Bottle,stainles steel bottle,Trendy,1
67,Take Away Mug And Containers,Take Away Mug And Containers,foldable water bottle,foldable water bottle,76.0,https://alidropship.com/wp-content/uploads/2019/09/22-foldable-water-bottle.png,Foldable Water Bottle,foldable water bottle,Trendy,1
56,Take Away Mug And Containers,Take Away Mug And Containers,mug gift away friend,mug gift away friend,20.0,https://i5.walmartimages.com/asr/ce50880c-0f13-4d65-a7cb-cc11a8166e08_1.d8452a0cf69bde5c66610867be250b65.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Mug Gift Away Friend,mug gift away friend,walmart,1
57,Take Away Mug And Containers,Take Away Mug And Containers,box lunch take away,box lunch take away,13.0,https://s.alicdn.com/@sc01/kf/Ha0feabe67d43438c802bae4e48199a594.jpg_300x300.jpg,Box Lunch Take Away,box lunch take away,alibaba,1
58,Take Away Mug And Containers,Take Away Mug And Containers,oz take container food,oz take container food,10.0,https://i5.walmartimages.com/asr/685fd651-0dd8-4c57-b6b6-b2551cecad82_1.464451a48a9d4152e1ff6b93fefee7f4.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Oz Take Container Food,oz take container food,walmart,1
60,Take Away Mug And Containers,Take Away Mug And Containers,ip mug box,ip mug box,9.0,https://i5.walmartimages.com/asr/6ec907f6-7cca-45cc-9245-9e325b3c89c7_1.cfb497012f3e40bd66508bb6004fb485.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Mug Box,mug box,walmart,1
59,Take Away Mug And Containers,Take Away Mug And Containers,coffee mug cup mockup,coffee mug cup mockup,7.0,https://i5.walmartimages.com/asr/01f7c891-d640-46ea-be97-37827f7d37af_1.9647e23934e08bf7c677a388e0ad25a9.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Coffee Mug Cup Mockup,coffee mug cup mockup,walmart,1
62,Take Away Mug And Containers,Take Away Mug And Containers,art print poster take,art print poster take,4.0,https://i5.walmartimages.com/asr/93d5e2ee-4d82-44cd-bde1-b162e33b674f_1.5085dcd34cff5634bf2f6d39259fa727.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Art Print Poster Take,art print poster take,walmart,1
63,Take Away Mug And Containers,Take Away Mug And Containers,moment breath life take,moment breath life take,4.0,https://s.alicdn.com/@sc01/kf/H0b2c62d1abe048068e25a6c8f6542368m.jpg_300x300.jpg,Moment Breath Life Take,moment breath life take,alibaba,1
64,Take Away Mug And Containers,Take Away Mug And Containers,2000 worker professional factory maker eco cheap paper disposable take away coffee cup,2000 worker professional factory maker eco cheap paper disposable take away coffee cup,3.0,https://s.alicdn.com/@sc01/kf/H267983bb5a974f2cbc4fba1ca4c480161.png_300x300.png,2000 Worker Professional Factory Maker Eco Cheap Paper Disposable Take Away Coffee Cup,2000 worker professional factory maker eco cheap paper disposable take away coffee cup,alibaba,1
65,Take Away Mug And Containers,Take Away Mug And Containers,col dixie collection 832267993,col dixie collection 832267993,3.0,https://i5.walmartimages.com/asr/9ede646c-0e57-4766-9ef0-dd73f8f31ab4_1.6795d6484f7da60af09a7731c68b4a50.png?odnHeight=200&odnWidth=200&odnBg=ffffff,Col Dixie Collection 832267993,col dixie collection 832267993,walmart,1
68,Tableware Accessories,Tableware Accessories,tableware set accessor kitchen,tableware set accessor kitchen,96.0,https://s.alicdn.com/@sc01/kf/HLB1W59WQrrpK1RjSZTEq6AWAVXad.jpg_300x300.jpg,Tableware Set Accessor Kitchen,accessor tableware coaster,alibaba,1
78,Tableware Accessories,Tableware Accessories,fancy felt coaster,fancy felt coaster,76.0,https://alidropship.com/wp-content/uploads/2019/09/14-felt-coasters.png,Fancy Felt Coasters,fancy felt coaster,Trendy,1
79,Tableware Accessories,Tableware Accessories,retro metal plate,retro metal plate,76.0,https://alidropship.com/wp-content/uploads/2019/09/15-retro-metal-plates.png,Retro Metal Plates,retro metal plate,Trendy,1
71,Tableware Accessories,Tableware Accessories,party tableware plate cup,party tableware plate cup,16.0,https://i5.walmartimages.com/asr/12f4b198-b623-4b67-aeb9-ac5a3582fbc3_1.7f419c4b70f763a845eca8a7cd916913.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Party Tableware Plate Cup,party tableware plate cup,walmart,1
72,Tableware Accessories,Tableware Accessories,pack paper straw party,pack paper straw party,9.0,https://m.media-amazon.com/images/I/71Q7aZeA-8L._AC_UL320_ML3_.jpg,Pack Paper Straw Party,pack paper straw party,amazon,1
73,Tableware Accessories,Tableware Accessories,bowl set plate dinnerware,bowl set plate dinnerware,6.0,https://m.media-amazon.com/images/I/814i8-BmSBL._AC_UL320_ML3_.jpg,Bowl Set Plate Dinnerware,bowl set plate dinnerware,amazon,1
74,Tableware Accessories,Tableware Accessories,plastic disposable fork silverware,plastic disposable fork silverware,4.0,https://m.media-amazon.com/images/I/81uVRJB7aML._AC_UL320_ML3_.jpg,Plastic Disposable Fork Silverware,plastic disposable fork silverware,amazon,1
75,Tableware Accessories,Tableware Accessories,bucket ice vintage,bucket ice vintage,4.0,https://i5.walmartimages.com/asr/81b5c8ba-6e45-4d16-a87b-c915cca9f730_1.5a99926891b9c556da16d04967bf6681.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Bucket Ice Vintage,bucket ice vintage,walmart,1
76,Tableware Accessories,Tableware Accessories,ip balsacircle 12 pc plastic boot baby shower favor party decoration clear 530867733,ip balsacircle 12 pc plastic boot baby shower favor party decoration clear 530867733,3.0,https://i5.walmartimages.com/asr/8ccec581-b019-4727-9e1c-00ffb0250e9d_1.248027e7f0ed6248ac52a3430d1e350e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Balsacircle 12 Pc Plastic Boot Baby Shower Favor Party Decoration Clear 530867733,ip balsacircle 12 pc plastic boot baby shower favor party decoration clear 530867733,walmart,1
77,Tableware Accessories,Tableware Accessories,silverware kitchen organizer utensil,silverware kitchen organizer utensil,3.0,https://m.media-amazon.com/images/I/61HVCRN3sjL._AC_UL320_ML3_.jpg,Silverware Kitchen Organizer Utensil,silverware kitchen organizer utensil,amazon,1
80,Table And Desk,Table And Desk,table desk lamp side,table desk lamp side,537.0,https://s.alicdn.com/@sc01/kf/H01317e97a0f8483dbd21aef3556104877.jpg_300x300.jpg,Table Desk Lamp Side,desk table,alibaba,1
82,Table And Desk,Table And Desk,desk adjustable height stand,desk adjustable height stand,36.0,https://s.alicdn.com/@sc01/kf/He5b68a3b30294120bfd51d12a56612a9b.jpg_300x300.jpg,Desk Adjustable Height Stand,desk adjustable height stand,alibaba,1
83,Table And Desk,Table And Desk,salt pepper mill,salt pepper mill,3.0,https://i.etsystatic.com/10264941/d/il/f7ae12/1965940120/il_340x270.1965940120_dsbk.jpg?version=0,Salt Pepper Mill,salt pepper mill,etsy,1
84,Table And Desk,Table And Desk,black end table,black end table,2.0,https://m.media-amazon.com/images/I/71kkV+8sTNL._AC_UL320_ML3_.jpg,Black End Table,black end table,amazon,1
85,Storage Furniture,Storage Furniture,storage furniture cabinet room,storage furniture cabinet room,172.0,https://s.alicdn.com/@sc01/kf/Hd8afa577527346cda061d42a55aeb2184.jpg_300x300.jpg,Storage Furniture Cabinet Room,storage furniture,alibaba,1
88,Storage Furniture,Storage Furniture,x basket canva cm,x basket canva cm,36.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwd3f3dcfe/product/39880110_01_001_01.jpg?sw=245&sh=279&sm=fit,X Basket Canva Cm,x basket canva cm,hema,1
87,Storage Furniture,Storage Furniture,organizer cube home better,organizer cube home better,20.0,https://i5.walmartimages.com/asr/3d3d91d2-c11c-4d00-89c5-411ec49e6490_1.0206e979d61a97c699ca832b3fe312ea.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Organizer Cube Home Better,organizer cube home better,walmart,1
89,Storage Furniture,Storage Furniture,drawer fabric bedroom hallway,drawer fabric bedroom hallway,17.0,https://m.media-amazon.com/images/I/61dPdcbYaXL._AC_UL320_ML3_.jpg,Drawer Fabric Bedroom Hallway,drawer fabric bedroom hallway,amazon,1
90,Storage Furniture,Storage Furniture,pack hanger 5 baby,pack hanger 5 baby,12.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw8fac170d/product/33541057_01_001_01.jpg?sw=245&sh=279&sm=fit,Pack Hanger 5 Baby,pack hanger 5 baby,hema,1
94,Storage Furniture,Storage Furniture,infant duvet,infant duvet,4.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw54412eba/product/05514200_01_001_01.jpg?sw=245&sh=279&sm=fit,Infant Duvet,infant duvet,hema,1
91,Storage Furniture,Storage Furniture,small space living expert tip technique using closet corner every space home,small space living expert tip technique using closet corner every space home,3.0,https://s.alicdn.com/@sc01/kf/HTB18Q9Apv5TBuNjSspmq6yDRVXaw.jpg_300x300.jpg,Small Space Living Expert Tip Technique Using Closet Corner Every Space Home,small space living expert tip technique using closet corner every space home,alibaba,1
92,Storage Furniture,Storage Furniture,dressing furniture bedroom table,dressing furniture bedroom table,3.0,https://i.etsystatic.com/19473174/d/il/d42481/1957957592/il_340x270.1957957592_ked7.jpg?version=0,Dressing Furniture Bedroom Table,dressing furniture bedroom table,etsy,1
93,Storage Furniture,Storage Furniture,essential box oil lid,essential box oil lid,2.0,https://i.etsystatic.com/7740078/d/il/2bf4fe/1948436028/il_340x270.1948436028_a3a2.jpg?version=0,Essential Box Oil Lid,essential box oil lid,etsy,1
685,Sport And Fitness,Sport And Fitness,posture corrector,posture corrector,304.0,https://www.cloudways.com/blog/wp-content/uploads/Posture-Corrector-belt.jpg,Posture Corrector,posture,Trendy,1
690,Sport And Fitness,Sport And Fitness,non slip yoga mat,non slip yoga mat,304.0,https://img.oberlo.com/?url=https://ae01.alicdn.com/kf/HTB1hqf5aJfvK1RjSszhq6AcGFXaU/1830-610-6mm-TPE-Yoga-Mat-with-Position-Line-Non-Slip-Carpet-Mat-For-Beginner-Environmental.jpg,Non-Slip Yoga Mat,yoga mat,Trendy,1
693,Sport And Fitness,Sport And Fitness,resistance band,resistance band,228.0,https://i5.walmartimages.com/asr/788bcfdc-4b99-44cf-a618-4a961d0a9bd8_1.1d0b68bbc0c3a6f199863d5d9720361c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,Resistance Band,resistance band,Trendy,1
683,Sport And Fitness,Sport And Fitness,portable blender,portable blender,152.0,https://ae01.alicdn.com/kf/HTB1hguRL3DqK1RjSZSyq6yxEVXaP/4-Blades-Portable-Blender-Mix-Pro-Electric-Blender-USB-Rechargeable-500ml-Juicer-Cup-Extractor-Shakes-Fruit.jpg,Portable Blender,portable blender,Trendy,1
687,Sport And Fitness,Sport And Fitness,post workout massage gun,post workout massage gun,152.0,//cdn.shopify.com/s/files/1/0070/7032/files/trending-products-massage-gun.jpg?v=1582322472,Post-Workout Massage Guns,post workout massage gun,Trendy,1
689,Sport And Fitness,Sport And Fitness,knee brace,knee brace,152.0,https://img.oberlo.com/?url=https://ae01.alicdn.com/kf/HTB1QlG_hzQnBKNjSZSgq6xHGXXa5/AOLIKES-1PCS-2019-Knee-Support-Professional-Protective-Sports-Knee-Pad-Breathable-Bandage-Knee-Brace-Basketball-Tennis.jpg,Knee Brace,knee brace,Trendy,1
695,Sport And Fitness,Sport And Fitness,activity tracker,activity tracker,152.0,https://alidropship.com/wp-content/uploads/2019/09/2-activity-tracker.png,Activity Tracker,activity tracker,Trendy,1
699,Sport And Fitness,Sport And Fitness,reflective shoelace,reflective shoelace,152.0,https://alidropship.com/wp-content/uploads/2019/09/47-reflective-shoelaces.png,Reflective Shoelaces,reflective shoelace,Trendy,1
700,Sport And Fitness,Sport And Fitness,fitnes tracker,fitnes tracker,152.0,//cdn.salehoo.com/files/image/blog/40-ecommerce-dropshipping-business-ideas-03.png,Fitness Trackers,fitnes tracker,Trendy,1
701,Sport And Fitness,Sport And Fitness,smart watche,smart watche,152.0,//cdn.salehoo.com/files/image/blog/40-ecommerce-dropshipping-business-ideas-07.png,Smart Watches,smart watche,Trendy,1
702,Sport And Fitness,Sport And Fitness,shapewear,shapewear,152.0,//cdn.shopify.com/s/files/1/0070/7032/files/2-shapewear-product.png?format=webp&v=1544031929,Shapewear,shapewear,Trendy,1
703,Sport And Fitness,Sport And Fitness,trail shoe,trail shoe,152.0,https://108658-309052-raikfcquaxqncofqfm.stackpathdns.com//wp-content/uploads/2019/07/Hiking-shoes.jpeg,Trail Shoes,trail shoe,Trendy,1
688,Sport And Fitness,Sport And Fitness,sport bottle,sport bottle,76.0,https://alidropship.com/wp-content/uploads/2019/07/ali10-min.png,Sport Bottle,sport bottle,Trendy,1
696,Sport And Fitness,Sport And Fitness,adjustable workout bar,adjustable workout bar,76.0,https://alidropship.com/wp-content/uploads/2019/09/39-workout-bar.png,Adjustable Workout Bar,adjustable workout bar,Trendy,1
697,Sport And Fitness,Sport And Fitness,pull rope,pull rope,76.0,https://alidropship.com/wp-content/uploads/2019/09/41-pull-rope.png,Pull Rope,pull rope,Trendy,1
